Iteration: 1 | Loss: 2.30211735328 | Training accuracy: 0.0799999982119% | Test accuracy: 0.107000008225%
Iteration: 54 | Loss: 2.3011946559 | Training accuracy: 0.109999999404% | Test accuracy: 0.111000008881%
Iteration: 55 | Loss: 2.30120162209 | Training accuracy: 0.129999995232% | Test accuracy: 0.0990000069141%
Iteration: 56 | Loss: 2.30119924545 | Training accuracy: 0.129999995232% | Test accuracy: 0.145000010729%
Iteration: 57 | Loss: 2.30119952361 | Training accuracy: 0.109999999404% | Test accuracy: 0.109000004828%
Iteration: 58 | Loss: 2.30119162083 | Training accuracy: 0.109999999404% | Test accuracy: 0.104000002146%
Iteration: 59 | Loss: 2.301196841 | Training accuracy: 0.0899999961257% | Test accuracy: 0.115000002086%
Iteration: 60 | Loss: 2.30119847854 | Training accuracy: 0.149999991059% | Test accuracy: 0.107000008225%
Iteration: 61 | Loss: 2.30119945606 | Training accuracy: 0.129999995232% | Test accuracy: 0.11400000751%
Iteration: 62 | Loss: 2.30119606535 | Training accuracy: 0.119999997318% | Test accuracy: 0.102000005543%
Iteration: 63 | Loss: 2.30119443854 | Training accuracy: 0.0999999940395% | Test accuracy: 0.115000002086%
Iteration: 64 | Loss: 2.30119801442 | Training accuracy: 0.0999999940395% | Test accuracy: 0.102000005543%
Iteration: 65 | Loss: 2.30119482358 | Training accuracy: 0.0899999961257% | Test accuracy: 0.124000005424%
Iteration: 66 | Loss: 2.30119735201 | Training accuracy: 0.109999999404% | Test accuracy: 0.112000003457%
Iteration: 67 | Loss: 2.30119890213 | Training accuracy: 0.0599999986589% | Test accuracy: 0.127000004053%
Iteration: 68 | Loss: 2.30119846185 | Training accuracy: 0.149999991059% | Test accuracy: 0.102000005543%
Iteration: 69 | Loss: 2.30119995117 | Training accuracy: 0.0599999986589% | Test accuracy: 0.12800000608%
Iteration: 70 | Loss: 2.30119316419 | Training accuracy: 0.0799999982119% | Test accuracy: 0.11400000751%
Iteration: 71 | Loss: 2.30120121201 | Training accuracy: 0.170000001788% | Test accuracy: 0.0960000008345%
Iteration: 72 | Loss: 2.30119811177 | Training accuracy: 0.149999991059% | Test accuracy: 0.106000006199%
Iteration: 73 | Loss: 2.30119727254 | Training accuracy: 0.119999997318% | Test accuracy: 0.10000000149%
Iteration: 74 | Loss: 2.30119475881 | Training accuracy: 0.129999995232% | Test accuracy: 0.119000002742%
Iteration: 75 | Loss: 2.3011938266 | Training accuracy: 0.0999999940395% | Test accuracy: 0.122000008821%
Iteration: 76 | Loss: 2.30119738777 | Training accuracy: 0.0799999982119% | Test accuracy: 0.106000006199%
Iteration: 77 | Loss: 2.30119751215 | Training accuracy: 0.129999995232% | Test accuracy: 0.110000006855%
Iteration: 78 | Loss: 2.30119841973 | Training accuracy: 0.119999997318% | Test accuracy: 0.129000008106%
Iteration: 79 | Loss: 2.30119398355 | Training accuracy: 0.0899999961257% | Test accuracy: 0.124000005424%
Iteration: 80 | Loss: 2.30119006634 | Training accuracy: 0.0599999986589% | Test accuracy: 0.125%
Iteration: 81 | Loss: 2.3011957562 | Training accuracy: 0.129999995232% | Test accuracy: 0.129000008106%
Iteration: 82 | Loss: 2.30119542718 | Training accuracy: 0.179999992251% | Test accuracy: 0.112000003457%
Iteration: 83 | Loss: 2.30119469047 | Training accuracy: 0.0799999982119% | Test accuracy: 0.119000002742%
Iteration: 84 | Loss: 2.30119738062 | Training accuracy: 0.159999996424% | Test accuracy: 0.115000002086%
Iteration: 85 | Loss: 2.30119760712 | Training accuracy: 0.109999999404% | Test accuracy: 0.131000012159%
Iteration: 86 | Loss: 2.3011982278 | Training accuracy: 0.170000001788% | Test accuracy: 0.109000004828%
Iteration: 87 | Loss: 2.30119977315 | Training accuracy: 0.0799999982119% | Test accuracy: 0.11400000751%
Iteration: 88 | Loss: 2.30119901856 | Training accuracy: 0.070000000298% | Test accuracy: 0.117000006139%
Iteration: 89 | Loss: 2.30120094498 | Training accuracy: 0.0999999940395% | Test accuracy: 0.113000005484%
Iteration: 90 | Loss: 2.3011925451 | Training accuracy: 0.179999992251% | Test accuracy: 0.124000005424%
Iteration: 91 | Loss: 2.3011957252 | Training accuracy: 0.129999995232% | Test accuracy: 0.117000006139%
Iteration: 92 | Loss: 2.30119250536 | Training accuracy: 0.119999997318% | Test accuracy: 0.120000004768%
Iteration: 93 | Loss: 2.30119681438 | Training accuracy: 0.129999995232% | Test accuracy: 0.110000006855%
Iteration: 94 | Loss: 2.30119388382 | Training accuracy: 0.129999995232% | Test accuracy: 0.113000005484%
Iteration: 95 | Loss: 2.30119400342 | Training accuracy: 0.109999999404% | Test accuracy: 0.109000004828%
Iteration: 96 | Loss: 2.301194158 | Training accuracy: 0.109999999404% | Test accuracy: 0.108000002801%
Iteration: 97 | Loss: 2.30119769136 | Training accuracy: 0.0999999940395% | Test accuracy: 0.113000005484%
Iteration: 98 | Loss: 2.3011929969 | Training accuracy: 0.109999999404% | Test accuracy: 0.117000006139%
Iteration: 99 | Loss: 2.30119309704 | Training accuracy: 0.0899999961257% | Test accuracy: 0.111000008881%
Iteration: 100 | Loss: 2.30119565765 | Training accuracy: 0.129999995232% | Test accuracy: 0.107000008225%
Iteration: 101 | Loss: 2.30119881749 | Training accuracy: 0.0799999982119% | Test accuracy: 0.113000005484%
Iteration: 102 | Loss: 2.30119657954 | Training accuracy: 0.109999999404% | Test accuracy: 0.111000008881%
Iteration: 103 | Loss: 2.30119350791 | Training accuracy: 0.170000001788% | Test accuracy: 0.10300000757%
Iteration: 104 | Loss: 2.30119235913 | Training accuracy: 0.119999997318% | Test accuracy: 0.101000003517%
Iteration: 105 | Loss: 2.30119337519 | Training accuracy: 0.189999997616% | Test accuracy: 0.124000005424%
Iteration: 106 | Loss: 2.30119647622 | Training accuracy: 0.140000000596% | Test accuracy: 0.102000005543%
Iteration: 107 | Loss: 2.30119578759 | Training accuracy: 0.159999996424% | Test accuracy: 0.122000008821%
Iteration: 108 | Loss: 2.3011954995 | Training accuracy: 0.119999997318% | Test accuracy: 0.10000000149%
Iteration: 109 | Loss: 2.30118926684 | Training accuracy: 0.109999999404% | Test accuracy: 0.122000008821%
Iteration: 110 | Loss: 2.30119096796 | Training accuracy: 0.0899999961257% | Test accuracy: 0.133000001311%
Iteration: 111 | Loss: 2.30119526029 | Training accuracy: 0.0499999970198% | Test accuracy: 0.125%
Iteration: 112 | Loss: 2.30119680047 | Training accuracy: 0.170000001788% | Test accuracy: 0.112000003457%
Iteration: 113 | Loss: 2.30119802912 | Training accuracy: 0.129999995232% | Test accuracy: 0.111000008881%
Iteration: 114 | Loss: 2.30119656761 | Training accuracy: 0.129999995232% | Test accuracy: 0.0910000056028%
Iteration: 115 | Loss: 2.30119408687 | Training accuracy: 0.109999999404% | Test accuracy: 0.111000008881%
Iteration: 116 | Loss: 2.30118994236 | Training accuracy: 0.119999997318% | Test accuracy: 0.110000006855%
Iteration: 117 | Loss: 2.30119075934 | Training accuracy: 0.149999991059% | Test accuracy: 0.10300000757%
Iteration: 118 | Loss: 2.3011936752 | Training accuracy: 0.119999997318% | Test accuracy: 0.115000002086%
Iteration: 119 | Loss: 2.30119423429 | Training accuracy: 0.109999999404% | Test accuracy: 0.124000005424%
Iteration: 120 | Loss: 2.30119131843 | Training accuracy: 0.070000000298% | Test accuracy: 0.112000003457%
Iteration: 121 | Loss: 2.30119622509 | Training accuracy: 0.129999995232% | Test accuracy: 0.110000006855%
Iteration: 122 | Loss: 2.30119355281 | Training accuracy: 0.0899999961257% | Test accuracy: 0.131999999285%
Iteration: 123 | Loss: 2.3011929361 | Training accuracy: 0.140000000596% | Test accuracy: 0.108000002801%
Iteration: 124 | Loss: 2.30119410833 | Training accuracy: 0.0799999982119% | Test accuracy: 0.116000004113%
Iteration: 125 | Loss: 2.30119108796 | Training accuracy: 0.0799999982119% | Test accuracy: 0.130000010133%
Iteration: 126 | Loss: 2.30119708737 | Training accuracy: 0.0999999940395% | Test accuracy: 0.124000005424%
Iteration: 127 | Loss: 2.30119285623 | Training accuracy: 0.0999999940395% | Test accuracy: 0.108000002801%
Iteration: 128 | Loss: 2.30119395137 | Training accuracy: 0.0999999940395% | Test accuracy: 0.111000008881%
Iteration: 129 | Loss: 2.30119290948 | Training accuracy: 0.159999996424% | Test accuracy: 0.111000008881%
Iteration: 130 | Loss: 2.30119478861 | Training accuracy: 0.109999999404% | Test accuracy: 0.127000004053%
Iteration: 131 | Loss: 2.30119791468 | Training accuracy: 0.0799999982119% | Test accuracy: 0.119000002742%
Iteration: 132 | Loss: 2.30119064132 | Training accuracy: 0.159999996424% | Test accuracy: 0.107000008225%
Iteration: 133 | Loss: 2.30119518995 | Training accuracy: 0.0799999982119% | Test accuracy: 0.104000002146%
Iteration: 134 | Loss: 2.30119456848 | Training accuracy: 0.0999999940395% | Test accuracy: 0.130000010133%
Iteration: 135 | Loss: 2.30119223674 | Training accuracy: 0.140000000596% | Test accuracy: 0.102000005543%
Iteration: 136 | Loss: 2.30119572242 | Training accuracy: 0.0999999940395% | Test accuracy: 0.101000003517%
Iteration: 137 | Loss: 2.30119782766 | Training accuracy: 0.140000000596% | Test accuracy: 0.111000008881%
Iteration: 138 | Loss: 2.30119465788 | Training accuracy: 0.0899999961257% | Test accuracy: 0.136000007391%
Iteration: 139 | Loss: 2.30119406064 | Training accuracy: 0.179999992251% | Test accuracy: 0.111000008881%
Iteration: 140 | Loss: 2.30119578362 | Training accuracy: 0.0899999961257% | Test accuracy: 0.117000006139%
Iteration: 141 | Loss: 2.30119551897 | Training accuracy: 0.0899999961257% | Test accuracy: 0.11400000751%
Iteration: 142 | Loss: 2.30119239569 | Training accuracy: 0.109999999404% | Test accuracy: 0.105000004172%
Iteration: 143 | Loss: 2.30119471471 | Training accuracy: 0.119999997318% | Test accuracy: 0.123000003397%
Iteration: 144 | Loss: 2.3011925451 | Training accuracy: 0.129999995232% | Test accuracy: 0.111000008881%
Iteration: 145 | Loss: 2.30119257212 | Training accuracy: 0.0999999940395% | Test accuracy: 0.118000008166%
Iteration: 146 | Loss: 2.3011955452 | Training accuracy: 0.129999995232% | Test accuracy: 0.110000006855%
Iteration: 147 | Loss: 2.30120037556 | Training accuracy: 0.0999999940395% | Test accuracy: 0.112000003457%
Iteration: 148 | Loss: 2.3011930716 | Training accuracy: 0.119999997318% | Test accuracy: 0.10300000757%
Iteration: 149 | Loss: 2.30119297624 | Training accuracy: 0.119999997318% | Test accuracy: 0.113000005484%
Iteration: 150 | Loss: 2.3011935095 | Training accuracy: 0.0799999982119% | Test accuracy: 0.108000002801%
Iteration: 151 | Loss: 2.30119246046 | Training accuracy: 0.109999999404% | Test accuracy: 0.105000004172%
Iteration: 152 | Loss: 2.30119238416 | Training accuracy: 0.119999997318% | Test accuracy: 0.106000006199%
Iteration: 153 | Loss: 2.30119236867 | Training accuracy: 0.109999999404% | Test accuracy: 0.116000004113%
Iteration: 154 | Loss: 2.30119008541 | Training accuracy: 0.119999997318% | Test accuracy: 0.118000008166%
Iteration: 155 | Loss: 2.30119954666 | Training accuracy: 0.129999995232% | Test accuracy: 0.109000004828%
Iteration: 156 | Loss: 2.30119541168 | Training accuracy: 0.149999991059% | Test accuracy: 0.116000004113%
Iteration: 157 | Loss: 2.30119429429 | Training accuracy: 0.149999991059% | Test accuracy: 0.120000004768%
Iteration: 158 | Loss: 2.30119193196 | Training accuracy: 0.129999995232% | Test accuracy: 0.118000008166%
Iteration: 159 | Loss: 2.30119229118 | Training accuracy: 0.0799999982119% | Test accuracy: 0.11400000751%
Iteration: 160 | Loss: 2.30119232535 | Training accuracy: 0.140000000596% | Test accuracy: 0.106000006199%
Iteration: 161 | Loss: 2.30119421045 | Training accuracy: 0.129999995232% | Test accuracy: 0.111000008881%
Iteration: 162 | Loss: 2.30119405508 | Training accuracy: 0.0899999961257% | Test accuracy: 0.097000002861%
Iteration: 163 | Loss: 2.30119335016 | Training accuracy: 0.129999995232% | Test accuracy: 0.119000002742%
Iteration: 164 | Loss: 2.30119302789 | Training accuracy: 0.109999999404% | Test accuracy: 0.10000000149%
Iteration: 165 | Loss: 2.30119258761 | Training accuracy: 0.119999997318% | Test accuracy: 0.120000004768%
Iteration: 166 | Loss: 2.30119461298 | Training accuracy: 0.070000000298% | Test accuracy: 0.108000002801%
Iteration: 167 | Loss: 2.30119380514 | Training accuracy: 0.119999997318% | Test accuracy: 0.125%
Iteration: 168 | Loss: 2.30119906187 | Training accuracy: 0.149999991059% | Test accuracy: 0.097000002861%
Iteration: 169 | Loss: 2.30119768103 | Training accuracy: 0.179999992251% | Test accuracy: 0.112000003457%
Iteration: 170 | Loss: 2.30119470557 | Training accuracy: 0.109999999404% | Test accuracy: 0.111000008881%
Iteration: 171 | Loss: 2.30119090239 | Training accuracy: 0.0899999961257% | Test accuracy: 0.116000004113%
Iteration: 172 | Loss: 2.30119438132 | Training accuracy: 0.0999999940395% | Test accuracy: 0.110000006855%
Iteration: 173 | Loss: 2.30118990699 | Training accuracy: 0.179999992251% | Test accuracy: 0.111000008881%
Iteration: 174 | Loss: 2.30118581653 | Training accuracy: 0.070000000298% | Test accuracy: 0.123000003397%
Iteration: 175 | Loss: 2.30119619846 | Training accuracy: 0.0899999961257% | Test accuracy: 0.122000008821%
Iteration: 176 | Loss: 2.30119572719 | Training accuracy: 0.0899999961257% | Test accuracy: 0.121000006795%
Iteration: 177 | Loss: 2.30119334698 | Training accuracy: 0.140000000596% | Test accuracy: 0.0940000042319%
Iteration: 178 | Loss: 2.30119492968 | Training accuracy: 0.129999995232% | Test accuracy: 0.109000004828%
Iteration: 179 | Loss: 2.30119449814 | Training accuracy: 0.149999991059% | Test accuracy: 0.113000005484%
Iteration: 180 | Loss: 2.30119133472 | Training accuracy: 0.0799999982119% | Test accuracy: 0.101000003517%
Iteration: 181 | Loss: 2.30119322141 | Training accuracy: 0.129999995232% | Test accuracy: 0.113000005484%
Iteration: 182 | Loss: 2.30119174719 | Training accuracy: 0.119999997318% | Test accuracy: 0.121000006795%
Iteration: 183 | Loss: 2.30119208932 | Training accuracy: 0.0899999961257% | Test accuracy: 0.122000008821%
Iteration: 184 | Loss: 2.30119394541 | Training accuracy: 0.070000000298% | Test accuracy: 0.102000005543%
Iteration: 185 | Loss: 2.30119097948 | Training accuracy: 0.0999999940395% | Test accuracy: 0.10300000757%
Iteration: 186 | Loss: 2.30119573116 | Training accuracy: 0.0899999961257% | Test accuracy: 0.109000004828%
Iteration: 187 | Loss: 2.30118972818 | Training accuracy: 0.149999991059% | Test accuracy: 0.108000002801%
Iteration: 188 | Loss: 2.30119274974 | Training accuracy: 0.109999999404% | Test accuracy: 0.115000002086%
Iteration: 189 | Loss: 2.30118538221 | Training accuracy: 0.129999995232% | Test accuracy: 0.102000005543%
Iteration: 190 | Loss: 2.30119116147 | Training accuracy: 0.119999997318% | Test accuracy: 0.117000006139%
Iteration: 191 | Loss: 2.30119181116 | Training accuracy: 0.0999999940395% | Test accuracy: 0.109000004828%
Iteration: 192 | Loss: 2.30119573832 | Training accuracy: 0.140000000596% | Test accuracy: 0.126000002027%
Iteration: 193 | Loss: 2.30119109352 | Training accuracy: 0.129999995232% | Test accuracy: 0.111000008881%
Iteration: 194 | Loss: 2.30119149526 | Training accuracy: 0.129999995232% | Test accuracy: 0.106000006199%
Iteration: 195 | Loss: 2.30119410475 | Training accuracy: 0.119999997318% | Test accuracy: 0.102000005543%
Iteration: 196 | Loss: 2.30119359016 | Training accuracy: 0.129999995232% | Test accuracy: 0.118000008166%
Iteration: 197 | Loss: 2.30119216641 | Training accuracy: 0.0599999986589% | Test accuracy: 0.117000006139%
Iteration: 198 | Loss: 2.30119096955 | Training accuracy: 0.070000000298% | Test accuracy: 0.117000006139%
Iteration: 199 | Loss: 2.30118908763 | Training accuracy: 0.070000000298% | Test accuracy: 0.10300000757%
Iteration: 200 | Loss: 2.30119389772 | Training accuracy: 0.109999999404% | Test accuracy: 0.126000002027%
Iteration: 201 | Loss: 2.30119181712 | Training accuracy: 0.0799999982119% | Test accuracy: 0.122000008821%
Iteration: 202 | Loss: 2.30119517485 | Training accuracy: 0.0599999986589% | Test accuracy: 0.117000006139%
Iteration: 203 | Loss: 2.3011965545 | Training accuracy: 0.0799999982119% | Test accuracy: 0.112000003457%
Iteration: 204 | Loss: 2.30119477709 | Training accuracy: 0.179999992251% | Test accuracy: 0.101000003517%
Iteration: 205 | Loss: 2.30118925333 | Training accuracy: 0.149999991059% | Test accuracy: 0.11400000751%
Iteration: 206 | Loss: 2.30119107525 | Training accuracy: 0.0899999961257% | Test accuracy: 0.10000000149%
Iteration: 207 | Loss: 2.30118827542 | Training accuracy: 0.109999999404% | Test accuracy: 0.0930000022054%
Iteration: 208 | Loss: 2.3011937352 | Training accuracy: 0.119999997318% | Test accuracy: 0.109000004828%
Iteration: 209 | Loss: 2.3011931928 | Training accuracy: 0.119999997318% | Test accuracy: 0.111000008881%
Iteration: 210 | Loss: 2.30119202932 | Training accuracy: 0.179999992251% | Test accuracy: 0.0910000056028%
Iteration: 211 | Loss: 2.30119202097 | Training accuracy: 0.0999999940395% | Test accuracy: 0.113000005484%
Iteration: 212 | Loss: 2.30119579832 | Training accuracy: 0.109999999404% | Test accuracy: 0.104000002146%
Iteration: 213 | Loss: 2.30119173884 | Training accuracy: 0.0799999982119% | Test accuracy: 0.108000002801%
Iteration: 214 | Loss: 2.30118738929 | Training accuracy: 0.070000000298% | Test accuracy: 0.108000002801%
Iteration: 215 | Loss: 2.30119477391 | Training accuracy: 0.140000000596% | Test accuracy: 0.0980000048876%
Iteration: 216 | Loss: 2.30119231502 | Training accuracy: 0.0799999982119% | Test accuracy: 0.0920000076294%
Iteration: 217 | Loss: 2.30119132638 | Training accuracy: 0.0899999961257% | Test accuracy: 0.11400000751%
Iteration: 218 | Loss: 2.30119624456 | Training accuracy: 0.170000001788% | Test accuracy: 0.126000002027%
Iteration: 219 | Loss: 2.30119163791 | Training accuracy: 0.0999999940395% | Test accuracy: 0.115000002086%
Iteration: 220 | Loss: 2.30118920604 | Training accuracy: 0.0499999970198% | Test accuracy: 0.111000008881%
Iteration: 221 | Loss: 2.30119080941 | Training accuracy: 0.0799999982119% | Test accuracy: 0.102000005543%
Iteration: 222 | Loss: 2.30119326631 | Training accuracy: 0.0899999961257% | Test accuracy: 0.12800000608%
Iteration: 223 | Loss: 2.30119559884 | Training accuracy: 0.129999995232% | Test accuracy: 0.106000006199%
Iteration: 224 | Loss: 2.30118968527 | Training accuracy: 0.0899999961257% | Test accuracy: 0.101000003517%
Iteration: 225 | Loss: 2.30119272709 | Training accuracy: 0.170000001788% | Test accuracy: 0.110000006855%
Iteration: 226 | Loss: 2.30119387587 | Training accuracy: 0.0899999961257% | Test accuracy: 0.111000008881%
Iteration: 227 | Loss: 2.30119553487 | Training accuracy: 0.070000000298% | Test accuracy: 0.126000002027%
Iteration: 228 | Loss: 2.30119490902 | Training accuracy: 0.140000000596% | Test accuracy: 0.106000006199%
Iteration: 229 | Loss: 2.30118915717 | Training accuracy: 0.109999999404% | Test accuracy: 0.118000008166%
Iteration: 230 | Loss: 2.30119142135 | Training accuracy: 0.119999997318% | Test accuracy: 0.117000006139%
Iteration: 231 | Loss: 2.30119336327 | Training accuracy: 0.0999999940395% | Test accuracy: 0.105000004172%
Iteration: 232 | Loss: 2.30119265993 | Training accuracy: 0.0999999940395% | Test accuracy: 0.115000002086%
Iteration: 233 | Loss: 2.30119160175 | Training accuracy: 0.109999999404% | Test accuracy: 0.120000004768%
Iteration: 234 | Loss: 2.30119745811 | Training accuracy: 0.109999999404% | Test accuracy: 0.121000006795%
Iteration: 235 | Loss: 2.30119645119 | Training accuracy: 0.149999991059% | Test accuracy: 0.116000004113%
Iteration: 236 | Loss: 2.30119287054 | Training accuracy: 0.070000000298% | Test accuracy: 0.118000008166%
Iteration: 237 | Loss: 2.30119410078 | Training accuracy: 0.0899999961257% | Test accuracy: 0.111000008881%
Iteration: 238 | Loss: 2.30119303425 | Training accuracy: 0.140000000596% | Test accuracy: 0.136000007391%
Iteration: 239 | Loss: 2.30119529645 | Training accuracy: 0.119999997318% | Test accuracy: 0.117000006139%
Iteration: 240 | Loss: 2.30118984183 | Training accuracy: 0.070000000298% | Test accuracy: 0.106000006199%
Iteration: 241 | Loss: 2.30119198759 | Training accuracy: 0.170000001788% | Test accuracy: 0.111000008881%
Iteration: 242 | Loss: 2.30119287332 | Training accuracy: 0.0799999982119% | Test accuracy: 0.12800000608%
Iteration: 243 | Loss: 2.30119236469 | Training accuracy: 0.0799999982119% | Test accuracy: 0.124000005424%
Iteration: 244 | Loss: 2.30119517326 | Training accuracy: 0.0599999986589% | Test accuracy: 0.119000002742%
Iteration: 245 | Loss: 2.30119124373 | Training accuracy: 0.109999999404% | Test accuracy: 0.111000008881%
Iteration: 246 | Loss: 2.30119274815 | Training accuracy: 0.119999997318% | Test accuracy: 0.0940000042319%
Iteration: 247 | Loss: 2.3011927398 | Training accuracy: 0.119999997318% | Test accuracy: 0.116000004113%
Iteration: 248 | Loss: 2.30119040926 | Training accuracy: 0.0899999961257% | Test accuracy: 0.121000006795%
Iteration: 249 | Loss: 2.30119425813 | Training accuracy: 0.0999999940395% | Test accuracy: 0.106000006199%
Iteration: 250 | Loss: 2.30119102558 | Training accuracy: 0.119999997318% | Test accuracy: 0.137000009418%
Iteration: 251 | Loss: 2.30119036953 | Training accuracy: 0.070000000298% | Test accuracy: 0.11400000751%
Iteration: 252 | Loss: 2.30119213144 | Training accuracy: 0.140000000596% | Test accuracy: 0.116000004113%
Iteration: 253 | Loss: 2.30119021773 | Training accuracy: 0.159999996424% | Test accuracy: 0.10300000757%
Iteration: 254 | Loss: 2.30119008899 | Training accuracy: 0.140000000596% | Test accuracy: 0.106000006199%
Iteration: 255 | Loss: 2.30119091988 | Training accuracy: 0.170000001788% | Test accuracy: 0.108000002801%
Iteration: 256 | Loss: 2.30119369109 | Training accuracy: 0.070000000298% | Test accuracy: 0.105000004172%
